ipni_id,accepted_name,genera,number_of_regions,region,lifeform_category ,climate_description,seedbank_conserved,iucn_assessed,redlist_category,threat_pred,threat_prediction_prob
633228-1,Epipactis helleborine,Epipactis,72,Northern Europe,herbaceous perennial,temperate,Yes,No,Not Assessed,not threatened,0.063299007
306227-2,Acineta antioquiae,Acineta,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.561130623
615031-1,Aerangis megaphylla,Aerangis,1,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.786826257
615070-1,Aeranthes africana,Aeranthes,1,South Tropical Africa,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.572336124
615071-1,Aeranthes albidiflora,Aeranthes,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.79307288
615095-1,Aeranthes leandriana,Aeranthes,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.829269531
615098-1,Aeranthes multinodis,Aeranthes,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.829269531
939574-1,Aeranthes parkesii,Aeranthes,1,South Tropical Africa,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.572565901
1005530-1,Amesiella monticola,Amesiella,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.857467343
60435855-2,Angraecopsis thomensis,Angraecopsis,1,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.857328544
20000699-1,Angraecum cribbianum,Angraecum,2,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.823049215
616245-1,Angraecum mahavavense,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.774324852
616288-1,Angraecum muscicola,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.774324852
939669-1,Angraecum palmicola,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.859629151
616331-1,Angraecum perhumile,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.774324852
937618-1,Angraecum peyrotii,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.859629151
651693-1,Platanthera chlorantha,Platanthera,38,Northern Europe,herbaceous perennial,temperate,Yes,No,Not Assessed,not threatened,0.070658966
616348-1,Angraecum potamophilum,Angraecum,1,Western Indian Ocean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.676220978
616380-1,Angraecum rigidifolium,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.774324852
935204-1,Angraecum rubellum,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.859629151
616415-1,Angraecum serpens,Angraecum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.785687825
616429-1,Angraecum sterrophyllum,Angraecum,1,Western Indian Ocean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.676220978
616501-1,Anguloa cliftonii,Anguloa,1,Western South America,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.487005651
617471-1,Benthamia catatiana,Benthamia,1,Western Indian Ocean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.77260401
617474-1,Benthamia dauphinensis,Benthamia,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.567178624
617494-1,Benthamia nigrovaginata,Benthamia,1,Western Indian Ocean,herbaceous perennial,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.76097495
929054-1,Biermannia jainiana,Biermannia,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.572709794
77211343-1,Bletia revoluta,Bletia,3,South-Central U.S.A.,herbaceous perennial,subtropical,No,Yes,Critically Endangered,not threatened,0.411536015
616244-1,Angraecum magdalenae,Angraecum,1,Western Indian Ocean,epiphyte,seasonally dry tropical,Yes,No,Not Assessed,threatened,0.772840421
35837-2,Brachionidium pteroglossum,Brachionidium,1,Western South America,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.904025768
77191995-1,Bulbophyllum apertiflorum,Bulbophyllum,1,West Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.889260001
77140646-1,Bulbophyllum arunachalense,Bulbophyllum,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.705698743
618558-1,Bulbophyllum ceriodorum,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.867265098
618647-1,Bulbophyllum conchophyllum,Bulbophyllum,1,Papuasia,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.173549922
1018259-1,Bulbophyllum erythroglossum,Bulbophyllum,1,Western Indian Ocean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.924483614
619036-1,Bulbophyllum gnomoniferum,Bulbophyllum,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.773584082
619108-1,Bulbophyllum hirsutiusculum,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.867265098
20000644-1,Bulbophyllum jaapii,Bulbophyllum,1,West-Central Tropical Africa,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.983649946
619538-1,Bulbophyllum minax,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.866224877
937616-1,Bulbophyllum moratii,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.924385528
619689-1,Bulbophyllum octorhopalon,Bulbophyllum,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.786198019
960124-1,Bulbophyllum parabates,Bulbophyllum,1,Papuasia,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.427383414
77150341-1,Bulbophyllum sagemuelleri,Bulbophyllum,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.924797363
620088-1,Bulbophyllum sanguineum,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.867265098
960127-1,Bulbophyllum sceliphron,Bulbophyllum,1,Papuasia,epiphyte,wet tropical,No,Yes,Critically Endangered,not threatened,0.427383414
620277-1,Bulbophyllum tampoketsense,Bulbophyllum,1,Western Indian Ocean,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.867265098
77105242-1,Bulbophyllum uroplatoides,Bulbophyllum,1,Western Indian Ocean,epiphyte,seasonally dry tropical,No,Yes,Critically Endangered,threatened,0.925487988
1018210-1,Caladenia attenuata,Caladenia,1,Australia,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.751093323
932581-1,Pterostylis bicolor,Pterostylis,3,Australia,herbaceous perennial,subtropical,Yes,No,Not Assessed,not threatened,0.370220125
972762-1,Pterostylis chlorogramma,Pterostylis,1,Australia,herbaceous perennial,subtropical,Yes,No,Not Assessed,threatened,0.852047693
615001-1,Aerangis ellisii,Aerangis,1,Western Indian Ocean,epiphyte,wet tropical,Yes,No,Not Assessed,threatened,0.581699288
621483-1,Calochilus cupreus,Calochilus,1,Australia,herbaceous perennial,subtropical,No,Yes,Critically Endangered,threatened,0.586722384
937110-1,Ceratocentron fesselii,Ceratocentron,1,Malesia,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.857467343
999977-1,Cheirostylis gunnarii,Cheirostylis,1,Indian Subcontinent,epiphyte,wet tropical,No,Yes,Critically Endangered,threatened,0.70577308
